INFO  - 2013-10-08 14:41:24.707; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits:num=2
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@C:\Users\Neblich\Desktop\solr\example\solr\collection1\data\index lockFactory=org.apache.lucene.store.NativeFSLockFactory@52bf7b40; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_6p,generation=241,filenames=[segments_6p]
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@C:\Users\Neblich\Desktop\solr\example\solr\collection1\data\index lockFactory=org.apache.lucene.store.NativeFSLockFactory@52bf7b40; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_6q,generation=242,filenames=[_1j_Lucene41_0.pos, _1j.nvm, _1j.si, _1j.fdt, _1j.fnm, _1j_Lucene41_0.tim, _1j.nvd, _1j.fdx, _1j_Lucene41_0.doc, _1j_Lucene41_0.tip, segments_6q]
INFO  - 2013-10-08 14:41:24.708; org.apache.solr.core.SolrDeletionPolicy; newest commit = 242[_1j_Lucene41_0.pos, _1j.nvm, _1j.si, _1j.fdt, _1j.fnm, _1j_Lucene41_0.tim, _1j.nvd, _1j.fdx, _1j_Lucene41_0.doc, _1j_Lucene41_0.tip, segments_6q]
INFO  - 2013-10-08 14:41:24.709; org.apache.solr.update.DefaultSolrCoreState; Closing old IndexWriter... core=collection1
INFO  - 2013-10-08 14:41:24.722; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits:num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@C:\Users\Neblich\Desktop\solr\example\solr\collection1\data\index lockFactory=org.apache.lucene.store.NativeFSLockFactory@52bf7b40; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_6q,generation=242,filenames=[_1j_Lucene41_0.pos, _1j.nvm, _1j.si, _1j.fdt, _1j.fnm, _1j.nvd, _1j_Lucene41_0.tim, _1j.fdx, _1j_Lucene41_0.tip, _1j_Lucene41_0.doc, segments_6q]
INFO  - 2013-10-08 14:41:24.723; org.apache.solr.core.SolrDeletionPolicy; newest commit = 242[_1j_Lucene41_0.pos, _1j.nvm, _1j.si, _1j.fdt, _1j.fnm, _1j.nvd, _1j_Lucene41_0.tim, _1j.fdx, _1j_Lucene41_0.tip, _1j_Lucene41_0.doc, segments_6q]
INFO  - 2013-10-08 14:41:24.723; org.apache.solr.update.DefaultSolrCoreState; New IndexWriter is ready to be used.
INFO  - 2013-10-08 14:41:24.728; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@4cbbecff main
INFO  - 2013-10-08 14:41:24.731; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@284f4e64 main
INFO  - 2013-10-08 14:41:24.731; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@4cbbecff main{StandardDirectoryReader(segments_6q:193:nrt _1j(4.3):C114)}
INFO  - 2013-10-08 14:41:24.732; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2013-10-08 14:41:24.732; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@284f4e64 main{StandardDirectoryReader(segments_6q:193:nrt _1j(4.3):C114)}
INFO  - 2013-10-08 14:41:24.733; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2013-10-08 14:41:24.733; org.apache.solr.core.CoreContainer; replacing core: collection1
INFO  - 2013-10-08 14:41:24.732; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@4cbbecff main{StandardDirectoryReader(segments_6q:193:nrt _1j(4.3):C114)}
INFO  - 2013-10-08 14:41:24.732; org.apache.solr.update.DirectUpdateHandler2; end_commit_flush
INFO  - 2013-10-08 14:41:24.735; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={commit=true} {commit=} 0 3116
INFO  - 2013-10-08 14:41:24.734; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={action=RELOAD&_=1381236083690&core=collection1&wt=json} status=0 QTime=1037 
INFO  - 2013-10-08 14:41:24.736; org.apache.solr.core.SolrCore; [collection1]  CLOSING SolrCore org.apache.solr.core.SolrCore@389c90cc
